Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
"Empreitada de conservação do complexo desportivo municipal da Serra das Minas, nos termos estabelecidos no caderno de encargos - elementos da solução da obra - e proposta adjudicada";Concurso público;Empreitadas de obras públicas;"45212290-5, Reparação e manutenção de instalações desportivas";Município de Sintra (500051062);"MDH - COMÉRCIO DE CASAS MODULARES, SOCIEDADE UNIPESSOAL, LDA. (510739369)";"87.770,73 €";07-06-2019;04-06-2019;90 dias;"Portugal, Lisboa, Sintra";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de equipamento de encaminhamento para routing com a internet global;Concurso público;Aquisição de bens móveis;"32413100-2, Combinadores de redes";Fundação para a Ciência e a Tecnologia I.P. (503904040);REAL LIFE TECHNOLOGIES (508535166);"199.000,00 €";07-06-2019;07-06-2019;1825 dias;"Portugal, Porto, Porto<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Sulfato de Alumínio Líquido para a ETA de Fagilde por um Período de 365 dias;Concurso público;Aquisição de bens móveis;"24313123-9, Sulfato de alumínio";Serviços Municipalizados de Água e Saneamento de Viseu (680020063);"Quimitécnica. com - Comercio e Indústria Quimica, SA (508728940)";"120.770,00 €";07-06-2019;26-04-2019;365 dias;"Portugal, Viseu, Viseu";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de diverso equipamento para Laboratório Didático para Ensino Mecatrónico e Formação para o CFPIC;Concurso público;Locação de bens móveis;"39162000-5, Equipamento pedagógico";Centro de Formação Profissional da Indústria de Calçado (900106590);"GSFAN- Indústria, unipessoal , Lda. (515302945)";"146.880,00 €";07-06-2019;30-05-2019;60 dias;"Portugal, Aveiro, São João da Madeira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Empreitada, em lotes, para reabilitação de edifícios referentes aos – núcleos C, D, E e F – PAICD. 04 – Programa municipal de habitação social";Concurso público;Empreitadas de obras públicas;"45212410-3, Obras de construção de edifícios relacionados com alojamento";Município de Torres Vedras (502173653);"Simões & Morado-Engenharia e Construção, Lda. (514555548)";"223.450,93 €";07-06-2019;05-06-2019;630 dias;"Portugal, Lisboa, Torres Vedras";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Fornecimento de Darunavir ao Hospital de Santo Espírito da Ilha Terceira, EPER";Concurso público;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Hospital de Santo Espírito da Ilha Terceira, E. P. E. R. (512105030)";"Zentiva, Lda. (503103551)";"15.989,40 €";07-06-2019;05-06-2019;210 dias;"Portugal, Região Autónoma dos Açores, Angra do Heroismo";"Artigo 20.º, alínea b) do Decreto Legislativo Regional n.º 27/2015/A, de 29.12";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de Diverso equipamento para o Ensino das transmissões mecânicas no sistema de unidades SI, descritos no caderno de encargos das cláusulas técnicas";Concurso público;Locação de bens móveis;"39181000-4, Bancadas de laboratório";Centro de Formação Profissional da Indústria de Calçado (900106590);"GSFAN- Indústria, unipessoal , Lda. (515302945)";"152.690,91 €";07-06-2019;30-05-2019;60 dias;"Portugal, Aveiro, São João da Madeira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento e colocação de sistema de climatização centralizado para o piso 1 do Edifício 10 do Campus de Gualtar da Universidade do Minho. (CP/DCM-11/2019);Concurso público;Aquisição de bens móveis;"39717200-3, Aparelhos de ar condicionado";Universidade do Minho (502011378);"Azimuthwave-Soluções e Assistência Técnica, Lda  (514431083)";"113.716,72 €";07-06-2019;31-05-2019;60 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Empreitada de remodelação e ampliação do edifício do Jardim de Infância – Centro de Bem Estar de Queluz – Edifício de Infantário – “Céu Azul”, nos termos do caderno de encargos, elementos da solução da obra e proposta adjudicada";Concurso público;Empreitadas de obras públicas;"45453100-8, Obras de recuperação";Município de Sintra (500051062);"NORTEJUVIL, SOCIEDADE DE CONSTRUÇÕES LDA. (506378527)";"145.041,95 €";07-06-2019;04-06-2019;180 dias;"Portugal, Lisboa, Sintra";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Qualificação da Rua da Pêga;Concurso público;Empreitadas de obras públicas;"45211360-0, Obras de urbanização";Município de Aveiro (505931192);"CONSTRUÇÕES CARLOS PINHO, LDA (503369489)";"1.802.885,19 €";07-06-2019;30-05-2019;455 dias;"Portugal, Aveiro";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Mobiliário e Equipamento Hospitalar para as Unidades de Cuidados Continuados e Integrados da Santa Casa da Misericórdia de Lisboa no Hospital Pulido Valente;Concurso público;Aquisição de bens móveis;"33192000-2, Mobiliário para fins médicos";Santa Casa da Misericórdia de Lisboa (500745471);"SANO-TÉCNICA, UNIPESSOAL, Limitada (500239819)";"17.292,00 €";07-06-2019;28-05-2019;30 dias;"Portugal, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE MATERIAL P/LAPAROSCOPIA;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";"Clinifar- Produtos Clinicos e Farmacêuticos, S.A. (503281115)";"3.114,00 €";07-06-2019;29-08-2018;365 dias;"Portugal<BR/>Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE MATERIAL P/LAPAROSCOPIA;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";Medtronic Portugal (504223933);"204,00 €";07-06-2019;29-08-2018;365 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE MATERIAL P/LAPAROSCOPIA;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";Moonsurge (506657035);"1.840,00 €";07-06-2019;29-08-2018;365 dias;"Portugal<BR/>Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Seguros para APSS, S.A., anuidades 2019/2021";Concurso público;Aquisição de serviços;"66510000-8, Serviços de seguros";"APSS - Administração dos Portos de Setúbal e Sesimbra, S. A. (502256869)";"Willis - Corretores de seguros, S.A. (500188629)";"655.102,44 €";07-06-2019;08-05-2019;1095 dias;"Portugal, Setúbal, Setúbal<BR/>Portugal, Setúbal, Sesimbra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE MATERIAL P/LAPAROSCOPIA;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";MBA (504445960);"470,80 €";07-06-2019;29-08-2018;365 dias;"Portugal, Santarém, Santarém<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de serviços de transporte de passageiros em autocarros, com motoristas, no âmbito das ""Viagens Fundação INATEL - Nacional e Internacional 2019 (de janeiro de 2019 a janeiro de 2020"")";Concurso público;Aquisição de serviços;"60140000-1, Transportes não regulares de passageiros";Fundação INATEL (500122237);"Resende - Actividades Turísticas, S. A. (500269165), Joaquim da Costa Ferreira & Filhos, Lda. (500151571)";"256.476,06 €";07-06-2019;07-06-2019;370 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Manutenção, reparação e calibragem de alcoolímetros, quantitativos e qualitativos";Concurso público;Aquisição de serviços;"50430000-8, Serviços de reparação e manutenção de equipamento de precisão";Policia de Segurança Pública - Divisão Sintra (600006662);"DRAGER PORTUGAL, LDA. (508771323)";"50.000,00 €";07-06-2019;23-05-2019;191 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Construção de muros de suporte em betão armado, blocos de betão, em pedra e gabião, reconstrução/reparação de muros e escadas existentes em vários locais do Município de Coimbra e construção de um pontão em Flor da Rosa, Almalaguês. Inerentes aos trabalhos anteriores estão contemplados no âmbito da presente empreitada, para além dos trabalhos de terraplenagem, trabalhos de pavimentação, de drenagem de águas pluviais e instalação de guardas de segurança.";Concurso público;Empreitadas de obras públicas;"45200000-9, Obras de construção total ou parcial e de engenharia civil";Município de Coimbra (506415082);"Coimbraferrus - Construção Civil, Obras Públicas e Transportes, Lda (502419520)";"252.999,99 €";07-06-2019;26-12-2018;180 dias;"Portugal, Coimbra, Coimbra<BR/>Portugal, Coimbra, Coimbra<BR/>Portugal, Coimbra, Coimbra<BR/>Portugal, Coimbra, Coimbra<BR/>Portugal<BR/>Portugal, Coimbra, Coimbra<BR/>Portugal, Coimbra, Coimbra<BR/>Portugal, Coimbra, Coimbra";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE MATERIAL P/LAPAROSCOPIA;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";Molnlycke Health Care (511101066);"16.449,80 €";07-06-2019;12-09-2018;365 dias;"Portugal, Santarém, Santarém<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Serviço Gestão Integrada de Residuos Urbanos;Concurso público;Aquisição de serviços;"90520000-8, Serviços de resíduos radioactivos, tóxicos, médicos e perigosos";"Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E. (506361438)";"Suma-Serviços Urbanos e Meio Ambiente, SA (503210560)";"28.080,00 €";07-06-2019;29-03-2019;275 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE MATERIAL P/LAPAROSCOPIA;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";Applied Medical Distribution Europe B.V. (980571111);"40.332,10 €";07-06-2019;12-09-2018;365 dias;"Portugal<BR/>Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Empreitada de Conservação e Beneficiação de Escolas EB1 - Lourel, da Portela de Sintra, de Galamares e do JI da Terrugem, nos termos estabelecidos no caderno de encargos - elementos da solução da obra - e proposta adjudicada";Concurso público;Empreitadas de obras públicas;"45442110-1, Pintura de edifícios";Município de Sintra (500051062);"ANTÓNIO CORDEIRO BORGES, LDA. (509283870)";"313.302,36 €";07-06-2019;04-06-2019;150 dias;"Portugal, Lisboa, Sintra";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Peixe Congelado para o Restaurante de Sant¿Ana e para as Unidades Hoteleiras da Fundação INATEL em Portugal Continental e Regiões Autónomas Madeira e dos Açores;Concurso público;Aquisição de bens móveis;"15221000-3, Peixe congelado";Fundação INATEL (500122237);"Gelsilves Comércio de Produtos Alimentares, Lda. (510551688)";"40.130,60 €";07-06-2019;07-06-2019;90 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação do Serviços de Vigilância e Segurança na ETA de Fagilde e Reservatório do Viso em 2019;Concurso público;Aquisição de serviços;"79714000-2, Serviços de vigilância";Serviços Municipalizados de Água e Saneamento de Viseu (680020063);"COPS -Companhia Operacional de Segurança, Lda. (508569974)";"59.827,20 €";07-06-2019;24-05-2019;365 dias;"Portugal, Viseu, Viseu";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"3019004466/DA/Aquisição de Cereais, Derivados e Tubérculos";Concurso público;Aquisição de bens móveis;"15000000-8, Produtos alimentares, bebidas, tabaco e produtos afins";MARINHA - DIREÇÃO DE ABASTECIMENTO (600012662);"Pires Duarte & Irmão, Lda. (502458747)";"91.947,00 €";07-06-2019;31-05-2019;205 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público para a celebração de Acordo Quadro para a  prestação de serviços de Cybersegurança na área da saúde;Concurso público;Aquisição de serviços;"72000000-5, Serviços de TI: consultoria, desenvolvimento de software, Internet e apoio";"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)";"MAINSEC  - Consultoria em Segurança de Sistemas de Informação Lda (514273127), AltranPortugal, S.A. (504272179), Multicert - Serviços de Certificação Eletrónica, SA (505767457), COMPTA – INFRA-ESTRUTURAS e SEGURANÇA, S.A (508348773), Claranet (503412031), Everis Portugal, SA (506204650), Visionware - Sistemas de Informação S.A. (507411072), Cloudcomputing.pt, Lda. (509381219), Warpcom Services, S.A. (505134195), FOCUS2COMPLY, LDA (513380930), ITEN Solutions – Sistemas de Informação, S.A. (510728189), GFI - PORTUGAL - TECNOLOGIAS DE INFORMAÇÃO S.A. (502726890), AMBISIG-AMBIENTE E SISTEMAS DE INFORMAÇÃO LDA (503239917), Indra Sistemas Portugal, S.A. (506176142), Nos Comunicações Sa (502604751), DOGNÆDIS (509475779), S21SEC PORTUGAL - CYBERSECURITY SERVICES, S.A. (513184945), Timestamp – Sistemas de Informação, S.A. (506360237), INTEGRITY, S.A. (509072054), Shield Domain, S.A. (509985211), Integrated Inspiring Solutions, Ld.ª (513283684), CYBERSAFE, LDA.  (513775110), MEO - Serviços de Comunicações e Multimédia, S.A. (504615947), ZERTIVE, SA (510502725)";"0,00 €";07-06-2019;31-10-2017;730 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;2780019;Concurso Público para a celebração de Acordo Quadro para a  prestação de serviços de Cybersegurança na área da saúde;false
CONCURSO PÚBLICO COM PUBLICAÇÃO NO JOUE PARA A CELEBRAÇÃO DE ACORDO QUADRO PARA A PRESTAÇÃO DE SERVIÇOS DE PRODUÇÃO DE EVENTOS E SERVIÇOS DE CATERING NA ÁREA DA SAÚDE;Concurso público;Aquisição de serviços;"79952000-2, Serviços de eventos<BR/>55520000-1, Serviços de fornecimento de refeições (catering)";"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)";"SUCH | Serviço de Utilização Comum dos Hospitais (500900469),  Osíris Viagens e Turismo Lda. (505259397), Connect Lda. (507574435)";"0,00 €";07-06-2019;24-07-2017;730 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;2741517;CONCURSO PÚBLICO COM PUBLICAÇÃO NO JOUE PARA A CELEBRAÇÃO DE ACORDO QUADRO PARA A PRESTAÇÃO DE SERVIÇOS DE PRODUÇÃO DE EVENTOS E SERVIÇOS DE CATERING NA ÁREA DA SAÚDE;false
"3019004466/DA/Aquisição de Cereais, Derivados e Tubérculos";Concurso público;Aquisição de bens móveis;"15000000-8, Produtos alimentares, bebidas, tabaco e produtos afins";MARINHA - DIREÇÃO DE ABASTECIMENTO (600012662);Vida Marinha (508836590);"1.787,50 €";07-06-2019;13-05-2019;205 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"3019004466/DA/Aquisição de Cereais, Derivados e Tubérculos";Concurso público;Aquisição de bens móveis;"15000000-8, Produtos alimentares, bebidas, tabaco e produtos afins";MARINHA - DIREÇÃO DE ABASTECIMENTO (600012662);"Pac & Bom - Comércio e Serviços, Lda. (503554049)";"5.230,80 €";07-06-2019;13-05-2019;205 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
1900015/2019 - Fornecimento de Serviços de Assistência Técnica à Central de Vácuo;Concurso público;Aquisição de serviços;"50500000-0, Serviços de reparação e manutenção de bombas, válvulas, torneiras, contentores de metal e equipamento";"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"I.F.H.I-Instalações de Fluidos Hospitalares,Lda (502264543)";"4.980,00 €";07-06-2019;15-03-2019;365 dias;"Portugal, Setúbal, Barreiro";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso público para aquisição de coberturas aerofotográficas digitais de Portugal Continental de 2019;Concurso público;Aquisição de bens móveis;"22315000-1, Fotografias";"Instituto de Financiamento da Agricultura e Pescas - IFAP, I. P. (508136644)";"MUNICIPIA, S.A.. (504475606)";"219.549,76 €";07-06-2019;04-06-2019;120 dias;"Portugal, Portugal Continental";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PE_19037_CNS - CONCURSO PÚBLICO NACIONAL PARA AQUISICAÇÃO DE SERVIÇOS DE SEGURO DE ACIDENTES DE TRABALHO PARA OS TRABALHADORES DA PARQUE ESCOLAR;Concurso público;Aquisição de serviços;"66510000-8, Serviços de seguros";"Parque Escolar, E. P. E. (508069645)";"SEGURADORAS UNIDAS, SA (500940231)";"24.111,40 €";07-06-2019;28-05-2019;366 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CPN 18/2019/DICP - T-18/2019 - Execução de sistema de drenagem de águas residuais domésticas nos sanitários públicos do mercado levante - Leiria;Concurso público;Empreitadas de obras públicas;"45232460-4, Obras de saneamento";Município de Leiria (505181266);"SECBAT, LDA. (513015361)";"12.500,00 €";07-06-2019;02-05-2019;30 dias;"Portugal, Leiria, Leiria";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"3019004466/DA/Aquisição de Cereais, Derivados e Tubérculos";Concurso público;Aquisição de bens móveis;"15000000-8, Produtos alimentares, bebidas, tabaco e produtos afins";MARINHA - DIREÇÃO DE ABASTECIMENTO (600012662);"Panisol - Comércio e Industria de Panaficação, S.A. (503747297)";"212.678,00 €";07-06-2019;03-06-2019;205 dias;"Portugal, Lisboa, Cascais<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público com publicação de Anúncio no Jornal Oficial da União Europeia para fornecimento de gás natural liquefeito para os Serviços Municipalizados dos Transportes Colectivos do Barreiro;Concurso público;Aquisição de bens móveis;"09123000-7, Gás natural";SMTCB - Serviços Municipalizados de Transportes Colectivos do Barreiro (680015574);"Galp Petróleos de Portugal - Petrogal, S.A. (500697370)";"1.362.600,00 €";07-06-2019;22-05-2019;1095 dias;"Portugal, Setúbal, Barreiro";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Empreitada de Recuperação e Adaptação do Edificado de Apoio à Estação Zootécnica da Madeira ;Concurso público;Empreitadas de obras públicas;"45454000-4, Obras de reestruturação";Secretaria Regional de Agricultura e Pescas (600086615);Touareg Construções Lda (511268459);"567.875,31 €";07-06-2019;06-06-2019;90 dias;"Portugal, Região Autónoma da Madeira, Porto Moniz";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição  continuada  de bens de consumo alimentar, por lotes.";Concurso público;Aquisição de bens móveis;"15800000-6, Produtos alimentares diversos";Câmara Municipal de Loures (501294996);"Comefrutas - Comércio, Lda. (505161575)";"271.521,90 €";07-06-2019;28-11-2018;1095 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
"Aquisição de serviços de pagamento via rede multibanco, através da atribuição de referências para o efeito e sistema de Débitos Diretos";Concurso público;Aquisição de serviços;"66110000-4, Serviços de banca";Município de Faro (506579425);"MEO - SERVIÇO DE COMUNICAÇÕES E MULTIMÉDIA, S.A. (504615947)";"73.405,86 €";07-06-2019;03-06-2019;1095 dias;Portugal;Artigo 155.º do Código dos Contratos Públicos;;;;;;Não aplicável.;Não aplicável.;false
"Upgrade da plataforma ScaleOut ou equivalente, em produção na AT que suporta os sistemas aplicacionais em produção nos diversos ambientes - Mainframe (Z-Linux) e Open (Linux, Windows)";Concurso público;Aquisição de bens móveis;"30211300-4, Plataformas informáticas";Autoridade Tributária e Aduaneira (600084779);Claranet (503412031);"2.392.439,96 €";07-06-2019;27-05-2019;730 dias;"Portugal, Lisboa, Lisboa<BR/>Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
14800039-Esterilizador baixa temperatura/1 a vapor;Concurso público;Aquisição de bens móveis;"33191100-6, Esterilizador";"Centro Hospitalar de Lisboa Ocidental, EPE (CHLO) (507618319)";Helder Gonçalves (503855421);"39.400,00 €";07-06-2019;22-02-2019;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
